word,frequency
哈哈,1483
哈哈哈,683
哈哈哈哈,210
第一,44
一个,33
没有,28
真的,27
好看,24
感觉,24
一幅,20
知道,20
现在,19
觉得,18
应该,18
淡淡,18
不是,18
苹果,18
第二,17
视频,17
很多,15
一下,14
二幅,14
确实,14
链接,14
有点,14
电影,14
一次,13
手机,13
不要,13
可能,12
普通,12
苦涩,12
起来,12
基本,12
喜欢,11
之前,11
意思,11
张家,10
第一幅,10
广告,10
已经,9
清晰,9
真是,9
直播,9
有所,9
看到,9
不能,9
问题,9
出去,9
油炸,8
消费,8
主页,8
中国,8
淡淡的,8
回收,8
一点,8
颜色,8
是不是,8
油管,8
攻击,8
好像,8
旅行,8
童年,7
不错,7
自信,7
没事,7
不好,7
流畅,7
韩国,7
当时,7
票房,7
厉害,7
第二幅,7
几个,7
信息,7
肯定,7
用户,7
棒子,7
人身,7
小时,7
偷笑,7
千万,7
漂亮,7
老师,7
花钱,7
害怕,7
主持,6
不会,6
出来,6
好意,6
含金,6
金量,6
领先,6
电视,6
自然,6
孩子,6
像头,6
通人,6
所谓,6
一样,6
